id,x,y,value,data_type,origin
125,270,136,0.760271847353655,plastic-pollution,EnvAntro
126,538,451,0.3573358711038035,tornados,EnvNat
127,866,476,0.1407798317677695,species-extinction,EnvAntro
128,288,85,0.8625836476621879,obesity,Phys
129,616,150,0.2664788645239632,fire,EnvNat
130,591,174,0.244350458607414,anxiety,Emo
131,898,455,0.6733116489274809,deforestation,EnvAntro
132,478,152,0.9327000774420552,rare-earth-mining,EnvAntro
133,486,144,0.4726503898397295,gdp,Socioeco
134,365,46,0.3409706398867079,fire,EnvNat
135,726,87,0.2430146110843841,cancer-rate,Phys
136,475,129,0.2812954771519967,suicide,Emo
137,333,226,0.7472201446759036,cancer-rate,Phys
138,552,300,0.4764071677800015,fire,EnvNat
139,364,298,0.1951876523581395,community-resilience,Emo
140,480,205,0.5984023397792296,earthquakes,EnvNat
141,984,55,0.0661955230038902,poverty-index,Socioeco
142,697,146,0.2579850528555969,chronic-pain,Phys
143,638,174,0.9528045818759936,food-insecurity-index,Socioeco
144,990,46,0.6576251517711587,fire,EnvNat
145,162,59,0.2457364712937106,anxiety,Emo
146,22,479,0.5766605198360539,tornados,EnvNat
147,746,58,0.1409592580894879,extractive-industry-employment,Socioeco
148,839,65,0.8618022150050838,healthcare-access,Socioeco
149,600,454,0.2651827604530317,community-resilience,Emo
150,916,50,0.0581595867033603,obesity,Phys
151,516,434,0.4904366477719214,extractive-industry-employment,Socioeco
152,791,56,0.8890418075705924,fire,EnvNat
153,791,80,0.1552641849339302,tornados,EnvNat
154,698,479,0.738376296194042,suicide,Emo
155,181,457,0.2095758452649888,fire,EnvNat
156,865,105,0.4751483086091342,fire,EnvNat
157,618,49,0.4532322848760141,fire,EnvNat
158,534,99,0.5552789630993075,cancer-rate,Phys
159,528,478,0.6398979290410024,fire,EnvNat
160,636,466,0.5068659495668882,fire,EnvNat
161,617,167,0.0010263660358491,depression,Emo
162,583,437,0.6768185058295804,respiratory-illness,Phys
163,393,254,0.895693887111499,rare-earth-mining,EnvAntro
164,164,135,0.1543761758192879,obesity,Phys
165,741,421,0.4442128215994883,chronic-disease,Phys
166,532,440,0.5814212610442945,rare-earth-mining,EnvAntro
167,636,145,0.1834659749606705,fire,EnvNat
168,541,150,0.1006079849182256,autoimmune-disorders,Phys
169,929,467,0.5291128378233646,fire,EnvNat
170,712,464,0.1975777706468937,fire,EnvNat
171,898,251,0.8975407512237007,migration-rate,Socioeco
172,633,451,0.7754494079576957,fire,EnvNat
173,534,467,0.1130408864592195,heavy-metal-contamination,EnvAntro
174,679,467,0.2217062495400928,deforestation,EnvAntro
175,615,128,0.6526362687471141,species-extinction,EnvAntro
176,553,113,0.1717892679867204,food-insecurity-index,Socioeco
177,555,89,0.5508488699563014,cancer-rate,Phys
178,559,471,0.9622042427628756,chronic-disease,Phys
179,894,433,0.274737181929873,community-resilience,Emo
180,880,73,0.8322807830617338,suicide,Emo
181,736,106,0.8958802427606741,fire,EnvNat
182,101,468,0.7305759451999899,cancer-rate,Phys
183,618,477,0.3847318660929251,fire,EnvNat
184,476,438,0.7726897759776923,respiratory-illness,Phys
185,259,480,0.6295765907646724,smog,EnvAntro
186,656,113,0.8503863715596004,chronic-pain,Phys
187,38,468,0.5881296792149076,fire,EnvNat
188,643,86,0.020649472406337,heavy-metal-contamination,EnvAntro
189,642,456,0.9593523878183976,floods,EnvNat
190,568,78,0.7939424028597659,fire,EnvNat
191,863,83,0.1013870473313088,food-insecurity-index,Socioeco
192,542,211,0.4203159881077415,earthquakes,EnvNat
193,789,51,0.7358269743318648,plastic-pollution,EnvAntro
194,945,480,0.5643466772717769,gdp,Socioeco
195,503,162,0.0422657881389327,community-resilience,Emo
196,405,465,0.9474277853909344,fire,EnvNat
197,665,136,0.6493409361328956,earthquakes,EnvNat
198,826,231,0.0392552654486402,rare-earth-mining,EnvAntro
199,263,17,0.8719072245348923,tornados,EnvNat
200,962,358,0.276885000992125,rare-earth-mining,EnvAntro
201,532,202,0.0326771386723752,cancer-rate,Phys
202,571,86,0.8366393973943576,respiratory-illness,Phys
203,483,468,0.3291193027259781,extractive-industry-employment,Socioeco
204,326,463,0.6267992949157892,gini,Socioeco
205,315,277,0.2978750878933118,fire,EnvNat
206,552,204,0.6577688790827476,extractive-industry-employment,Socioeco
207,632,180,0.0447613725731759,species-extinction,EnvAntro
208,760,158,0.4025814037140975,depression,Emo
209,80,53,0.8839139275739576,anxiety,Emo
210,515,145,0.960683968966306,poverty-index,Socioeco
211,81,464,0.4495498765683948,fire,EnvNat
212,328,270,0.9282577230174244,depression,Emo
213,506,446,0.8137957740146202,floods,EnvNat
214,145,53,0.3104051752356839,suicide,Emo
215,254,178,0.7886964934471435,extractive-industry-employment,Socioeco
216,492,149,0.1310963217319415,fire,EnvNat
217,629,446,0.6572934596219567,gdp,Socioeco
218,880,321,0.9591916045881822,fire,EnvNat
219,474,159,0.4169059521008914,suicide,Emo
220,556,113,0.3657266621672854,gini,Socioeco
221,544,56,0.7025626246235259,fire,EnvNat
222,810,85,0.4042837105336826,volcanic-eruptions,EnvNat
223,633,68,0.3995924372871787,obesity,Phys
224,587,177,0.3802888361962906,tornados,EnvNat
225,342,321,0.7650151971164165,poverty-index,Socioeco
226,635,184,0.548253308400213,plastic-pollution,EnvAntro
227,144,446,0.7104415601237029,gini,Socioeco
228,227,473,0.1719803256485886,fire,EnvNat
229,634,145,0.3009509142699043,extractive-industry-employment,Socioeco
230,845,40,0.0366846493364056,fire,EnvNat
231,787,144,0.5634536143649574,smog,EnvAntro
232,397,476,0.4451539893624292,migration-rate,Socioeco
233,783,240,0.79994713553439,isolation,Emo
234,453,467,0.7558858376359765,plastic-pollution,EnvAntro
235,734,160,0.6881739611805385,chronic-pain,Phys
236,210,58,0.8053896028301983,cancer-rate,Phys
237,553,435,0.0753757673347839,fire,EnvNat
238,520,192,0.2787931000434366,fire,EnvNat
239,829,100,0.8559308060719055,fire,EnvNat
240,380,29,0.0384200065220247,fire,EnvNat
241,936,446,0.9234477658317692,floods,EnvNat
242,795,443,0.527329013262979,respiratory-illness,Phys
243,202,150,0.3569751487760725,fire,EnvNat
244,242,58,0.6108884772868358,deforestation,EnvAntro
245,869,138,0.1967243109096385,anxiety,Emo
246,735,106,0.0242904160420439,healthcare-access,Socioeco
247,599,172,0.1447337374083191,fire,EnvNat
248,601,169,0.6797632786136735,poverty-index,Socioeco
249,459,454,0.3118884869369557,food-insecurity-index,Socioeco
250,717,86,0.1419349326797047,smog,EnvAntro
251,622,300,0.9153200151075628,anxiety,Emo
252,501,434,0.3911198272772807,floods,EnvNat
253,508,182,0.3602329814683573,suicide,Emo
254,541,453,0.4238734162788482,fire,EnvNat
255,539,438,0.9391080379347028,fire,EnvNat
256,856,80,0.3566370520399734,depression,Emo
257,774,449,0.4403809190275234,fire,EnvNat
258,818,217,0.3833772464923445,migration-rate,Socioeco
259,588,298,0.0621260215931583,plastic-pollution,EnvAntro
260,641,91,0.1788520989505496,gdp,Socioeco
261,523,102,0.7478640313320731,extractive-industry-employment,Socioeco
262,560,455,0.5123984837129928,autoimmune-disorders,Phys
263,830,468,0.5869031024878528,earthquakes,EnvNat
264,328,456,0.8589762301055665,heavy-metal-contamination,EnvAntro
265,824,44,0.7693432527440476,gdp,Socioeco
266,892,311,0.1005767398258898,obesity,Phys
267,532,231,0.3166614972209534,fire,EnvNat
268,601,232,0.4942544827626639,fire,EnvNat
269,760,461,0.6937474730708636,healthcare-access,Socioeco
270,609,65,0.5838749163311112,volcanic-eruptions,EnvNat
271,396,257,0.2991893812770738,fire,EnvNat
272,245,189,0.5536912526130994,gini,Socioeco
273,197,76,0.3318409175605116,fire,EnvNat
274,573,461,0.3345385661045201,fire,EnvNat
275,776,226,0.6990568595112777,community-resilience,Emo
276,741,437,0.9145486184657208,chronic-pain,Phys
277,791,245,0.4501606692942888,fire,EnvNat
278,905,434,0.5156433104415555,food-insecurity-index,Socioeco
279,714,147,0.7303127119836855,community-resilience,Emo
280,712,441,0.3561471297205465,floods,EnvNat
281,187,85,0.3953522432889803,obesity,Phys
282,656,479,0.897271798640404,floods,EnvNat
283,267,110,0.6387453182559305,extractive-industry-employment,Socioeco
284,658,123,0.6763104739851352,gini,Socioeco
285,643,462,0.6935471894246087,autoimmune-disorders,Phys
286,45,479,0.210725384994951,food-insecurity-index,Socioeco
287,546,230,0.5871946259308938,chronic-pain,Phys
288,299,267,0.1506140337081161,fire,EnvNat
289,353,468,0.1030302874613453,neurological-conditions,Phys
290,593,60,0.5836199586655844,species-extinction,EnvAntro
291,685,152,0.3657649011911172,tornados,EnvNat
292,607,436,0.3336893367252832,earthquakes,EnvNat
293,885,49,0.1813044216201159,species-extinction,EnvAntro
294,605,240,0.7489315535553622,fire,EnvNat
295,571,38,0.2592040276293251,poverty-index,Socioeco
296,905,442,0.0333390099290696,neurological-conditions,Phys
297,755,96,0.0003129529831443,earthquakes,EnvNat
298,323,471,0.5512322342353408,fire,EnvNat
299,433,26,0.0465701310341141,fire,EnvNat
300,70,457,0.5508486568093756,isolation,Emo
301,161,113,0.4919698022219857,healthcare-access,Socioeco
302,183,92,0.4456769722520732,fire,EnvNat
303,627,218,0.6937158453213303,gini,Socioeco
304,148,457,0.0007100867167713,earthquakes,EnvNat
305,70,40,0.6159280354657807,rare-earth-mining,EnvAntro
306,305,5,0.1536788031027999,obesity,Phys
307,579,81,0.4832973183424054,species-extinction,EnvAntro
308,789,83,0.7317856576758516,isolation,Emo
309,895,37,0.0286753323374803,chronic-pain,Phys
310,617,84,0.9249019547070042,floods,EnvNat
311,343,268,0.3841089824784109,autoimmune-disorders,Phys
312,297,234,0.918718539827112,heavy-metal-contamination,EnvAntro
313,580,245,0.6576394106895223,isolation,Emo
314,745,110,0.2184038211049648,smog,EnvAntro
315,789,418,0.7726588374212022,floods,EnvNat
316,692,89,0.6004518153232852,isolation,Emo
317,559,266,0.8478321185092477,chronic-pain,Phys
318,612,474,0.998185077864964,neurological-conditions,Phys
319,768,475,0.3543488995906186,fire,EnvNat
320,43,61,0.4391700829410173,poverty-index,Socioeco
321,550,305,0.0312634646731154,smog,EnvAntro
322,348,303,0.7308313285794502,plastic-pollution,EnvAntro
323,590,125,0.0821096499645822,isolation,Emo
324,854,123,0.1760096108920935,species-extinction,EnvAntro
325,481,172,0.6848501843173788,healthcare-access,Socioeco
326,589,39,0.7536179404211826,poverty-index,Socioeco
327,295,253,0.5012860254855729,plastic-pollution,EnvAntro
328,356,221,0.751981869103232,tornados,EnvNat
329,253,46,0.9947734974035846,neurological-conditions,Phys
330,152,447,0.4865598927631951,obesity,Phys
331,749,114,0.5909644234892586,isolation,Emo
332,789,419,0.9730090849280312,plastic-pollution,EnvAntro
333,608,69,0.8641248121983232,smog,EnvAntro
334,982,346,0.4164177876776734,fire,EnvNat
335,600,265,0.9237556929872656,healthcare-access,Socioeco
336,456,4,0.9966874150686228,food-insecurity-index,Socioeco
337,304,461,0.1063541161649477,fire,EnvNat
338,464,207,0.3896490951431408,tornados,EnvNat
339,845,308,0.7986864625045276,earthquakes,EnvNat
340,727,167,0.4752654942207074,fire,EnvNat
341,563,9,0.4203326135783345,fire,EnvNat
342,530,234,0.2899815767060982,fire,EnvNat
343,704,168,0.7818764920493623,fire,EnvNat
344,830,33,0.9887090776567168,smog,EnvAntro
345,743,30,0.6742093686148904,cancer-rate,Phys
346,330,91,0.1186247611154343,floods,EnvNat
347,581,152,0.1763678164541761,migration-rate,Socioeco
348,526,463,0.431350481934892,heavy-metal-contamination,EnvAntro
349,745,100,0.0999371092774955,fire,EnvNat
350,596,151,0.8776702503624207,fire,EnvNat
351,689,59,0.0157850225517881,fire,EnvNat
352,598,70,0.7336116314664921,obesity,Phys
353,214,121,0.969512854792003,autoimmune-disorders,Phys
354,723,438,0.2648131725879751,earthquakes,EnvNat
355,485,473,0.3747260548793016,obesity,Phys
356,836,237,0.1776627755205188,autoimmune-disorders,Phys
357,348,279,0.9163885353646622,fire,EnvNat
358,828,129,0.0447510792385952,volcanic-eruptions,EnvNat
359,316,224,0.0519351405301061,fire,EnvNat
360,730,174,0.9450071667433408,neurological-conditions,Phys
361,458,200,0.1943339293574613,fire,EnvNat
362,162,63,0.9717307163826034,poverty-index,Socioeco
363,805,125,0.3238601356174131,rare-earth-mining,EnvAntro
364,870,276,0.9380344612098488,chronic-disease,Phys
365,779,446,0.0296380834603849,smog,EnvAntro
366,710,437,0.1350858549675354,tornados,EnvNat
367,503,135,0.0528072365738995,plastic-pollution,EnvAntro
368,581,82,0.8460244502170249,fire,EnvNat
369,594,434,0.153133894346485,autoimmune-disorders,Phys
370,594,225,0.1168231076731783,earthquakes,EnvNat
371,316,57,0.1604691055998977,fire,EnvNat
372,216,52,0.7598982315912768,migration-rate,Socioeco
373,685,60,0.3851462445659075,fire,EnvNat
374,613,461,0.8850403451531019,suicide,Emo
375,440,481,0.6618755369489558,healthcare-access,Socioeco
376,330,267,0.249295262146088,extractive-industry-employment,Socioeco
377,494,143,0.7316528943183483,chronic-disease,Phys
378,651,45,0.6727482782927744,fire,EnvNat
379,221,60,0.9957713540156274,poverty-index,Socioeco
380,882,135,0.6649433169973262,deforestation,EnvAntro
381,803,198,0.9326559552963654,rare-earth-mining,EnvAntro
382,516,107,0.0434172677968236,rare-earth-mining,EnvAntro
383,574,126,0.9525135665696582,fire,EnvNat
384,316,216,0.770473624998637,deforestation,EnvAntro
385,789,468,0.419516099509917,extractive-industry-employment,Socioeco
386,662,423,0.470078393846277,healthcare-access,Socioeco
387,76,53,0.3711755168177296,species-extinction,EnvAntro
388,536,266,0.3289060552783474,fire,EnvNat
389,343,314,0.8968897772705299,deforestation,EnvAntro
390,520,155,0.0784705955479557,autoimmune-disorders,Phys
391,316,431,0.9165760511906788,fire,EnvNat
392,782,49,0.2490992265664015,gini,Socioeco
393,334,215,0.349791740296422,obesity,Phys
394,85,48,0.4480024989760331,fire,EnvNat
395,908,296,0.3845612840466562,earthquakes,EnvNat
396,759,122,0.045301395469624,autoimmune-disorders,Phys
397,505,149,0.7261367443152148,chronic-disease,Phys
398,625,160,0.3339178225651837,healthcare-access,Socioeco
399,455,189,0.8371376035303498,heavy-metal-contamination,EnvAntro
400,379,464,0.8251901261915894,suicide,Emo
401,516,466,0.121111268610443,respiratory-illness,Phys
402,950,39,0.1438678475283544,respiratory-illness,Phys
403,760,146,0.0823816598612409,fire,EnvNat
404,321,90,0.4350317438394122,fire,EnvNat
405,260,134,0.8088322174717719,fire,EnvNat
406,106,62,0.40729229964468,community-resilience,Emo
407,490,434,0.7804290471927927,earthquakes,EnvNat
408,632,130,0.8097194005160532,cancer-rate,Phys
409,238,440,0.1243910706835691,floods,EnvNat
410,848,80,0.3489930583735611,earthquakes,EnvNat
411,162,101,0.6023842887388948,fire,EnvNat
412,864,81,0.0260578646725391,deforestation,EnvAntro
413,738,40,0.4743254461475524,plastic-pollution,EnvAntro
414,679,101,0.6243982635708933,gdp,Socioeco
415,544,201,0.1870291681101124,heavy-metal-contamination,EnvAntro
416,730,131,0.5582475153870861,rare-earth-mining,EnvAntro
417,579,311,0.1100859888414952,plastic-pollution,EnvAntro
418,616,69,0.926513226713706,depression,Emo
419,321,240,0.7583374681114622,fire,EnvNat
420,747,101,0.8863010868118675,fire,EnvNat
421,844,316,0.8870509993424939,isolation,Emo
422,235,8,0.258712995875881,earthquakes,EnvNat
423,164,121,0.0330949356865847,respiratory-illness,Phys
424,741,54,0.1596230393244226,smog,EnvAntro
425,551,235,0.326679660140118,migration-rate,Socioeco
426,143,467,0.08094941188893,fire,EnvNat
427,395,37,0.6853941943345938,fire,EnvNat
428,360,54,0.9423105935001124,community-resilience,Emo
429,663,477,0.1310048071994317,volcanic-eruptions,EnvNat
430,164,76,0.2430932884747394,community-resilience,Emo
431,373,276,0.4982962601107636,healthcare-access,Socioeco
432,592,435,0.0227450381033811,anxiety,Emo
433,316,357,0.5962378037246718,floods,EnvNat
434,304,226,0.8870989252137431,migration-rate,Socioeco
435,376,262,0.3931892297380235,fire,EnvNat
436,716,100,0.8349635306797635,fire,EnvNat
437,309,265,0.2142184980247647,depression,Emo
438,545,282,0.5493406713580501,fire,EnvNat
439,561,88,0.133294537676272,respiratory-illness,Phys
440,863,87,0.3585318429749279,smog,EnvAntro
441,907,420,0.8597993991131281,fire,EnvNat
442,353,321,0.3840744512822767,isolation,Emo
443,840,255,0.7475248126567676,earthquakes,EnvNat
444,605,201,0.8403789454895713,floods,EnvNat
445,881,431,0.4196107330586056,earthquakes,EnvNat
446,724,160,0.8278292594687536,species-extinction,EnvAntro
447,872,300,0.473973090793726,deforestation,EnvAntro
448,523,196,0.1671937648875028,gdp,Socioeco
449,810,225,0.102174815536506,fire,EnvNat
450,343,297,0.2976177786835909,autoimmune-disorders,Phys
451,581,306,0.9685701882293029,earthquakes,EnvNat
452,81,52,0.7656748824098326,chronic-pain,Phys
453,897,311,0.6510536474869142,tornados,EnvNat
454,281,479,0.3927894291574708,earthquakes,EnvNat
455,293,441,0.5049424272761096,fire,EnvNat
456,255,76,0.7402959774774024,gini,Socioeco
457,811,158,0.2946039324690808,obesity,Phys
458,765,420,0.2980444810949997,chronic-pain,Phys
459,578,235,0.5709403882907937,respiratory-illness,Phys
460,614,200,0.9321793145675482,chronic-disease,Phys
461,770,105,0.7848657679913644,chronic-disease,Phys
462,520,135,0.04538021569191,fire,EnvNat
463,221,447,0.9445813795911724,fire,EnvNat
464,800,71,0.6870672963217996,fire,EnvNat
465,253,459,0.5106142103792033,isolation,Emo
466,312,80,0.895807367783014,food-insecurity-index,Socioeco
467,712,78,0.9546887062817536,fire,EnvNat
468,63,64,0.353030337026619,anxiety,Emo
469,322,480,0.6981843045676037,neurological-conditions,Phys
470,917,319,0.8093578325403739,fire,EnvNat
471,500,111,0.2246653697227292,community-resilience,Emo
472,548,473,0.2180821869770171,gdp,Socioeco
473,621,100,0.8603019725795771,heavy-metal-contamination,EnvAntro
474,597,241,0.0444732883234445,fire,EnvNat
475,672,143,0.8761463058019328,rare-earth-mining,EnvAntro
476,827,463,0.9839396847103044,food-insecurity-index,Socioeco
477,937,42,0.0056732042642468,fire,EnvNat
478,737,42,0.560916132207947,fire,EnvNat
479,638,432,0.4731194423641434,fire,EnvNat
480,633,450,0.362232298722287,anxiety,Emo
481,800,149,0.9160958303130436,fire,EnvNat
482,542,178,0.4479181596000565,fire,EnvNat
483,903,466,0.3144050606828227,fire,EnvNat
484,825,438,0.50114805031292,autoimmune-disorders,Phys
485,884,93,0.7174219249111403,suicide,Emo
486,255,16,0.7676474632559612,chronic-disease,Phys
487,326,7,0.9246748271809998,fire,EnvNat
488,286,263,0.4239042178241043,fire,EnvNat
489,711,166,0.7271647619543854,rare-earth-mining,EnvAntro
490,132,444,0.9507462577943112,depression,Emo
491,207,39,0.1365930855907922,migration-rate,Socioeco
492,226,442,0.8465113680437882,gdp,Socioeco
493,784,167,0.2920138507562135,fire,EnvNat
494,722,56,0.1237531034143563,isolation,Emo
495,164,116,0.4357644885099555,earthquakes,EnvNat
496,235,36,0.6581199488784005,fire,EnvNat
497,197,65,0.4931972909959169,fire,EnvNat
498,269,122,0.9587795904690092,cancer-rate,Phys
499,852,90,0.8423117023276455,volcanic-eruptions,EnvNat
500,771,436,0.5949263100215908,anxiety,Emo
501,884,471,0.3944853504923215,fire,EnvNat
502,332,467,0.8898821557225034,fire,EnvNat
503,715,99,0.4576167239828437,volcanic-eruptions,EnvNat
504,231,18,0.8706784692304862,fire,EnvNat
505,576,173,0.6112112580476753,tornados,EnvNat
506,736,429,0.1100659066858232,smog,EnvAntro
507,302,73,0.7990881648093275,suicide,Emo
508,458,188,0.9751944152230158,healthcare-access,Socioeco
509,290,445,0.0217592181998829,healthcare-access,Socioeco
510,550,441,0.0439834852651894,gini,Socioeco
511,897,333,0.566868985292642,fire,EnvNat
512,59,46,0.3340850819389286,fire,EnvNat
513,772,20,0.0247977773850517,fire,EnvNat
514,484,478,0.8732015001811209,fire,EnvNat
515,530,98,0.9091047592793292,gini,Socioeco
516,291,460,0.9760555951400264,depression,Emo
517,243,84,0.4835277659090975,fire,EnvNat
518,786,222,0.7082018372697935,heavy-metal-contamination,EnvAntro
519,100,60,0.021522184382459,fire,EnvNat
520,327,246,0.5948086548928481,neurological-conditions,Phys
521,704,51,0.0328858423277369,fire,EnvNat
522,855,58,0.8046364034510755,community-resilience,Emo
523,609,274,0.1043294858989336,fire,EnvNat
524,848,451,0.7891748972102092,tornados,EnvNat
525,471,171,0.6837207501901557,neurological-conditions,Phys
526,626,303,0.0121262594372039,neurological-conditions,Phys
527,314,98,0.2906083350904,healthcare-access,Socioeco
528,820,104,0.1593652876238699,extractive-industry-employment,Socioeco
529,823,318,0.6893382411713468,smog,EnvAntro
530,320,243,0.5215577080355704,earthquakes,EnvNat
531,737,81,0.4287342045722033,fire,EnvNat
532,825,455,0.2320416361918031,fire,EnvNat
533,253,453,0.2403646870670899,food-insecurity-index,Socioeco
534,499,134,0.5813646350757494,neurological-conditions,Phys
535,623,168,0.2916607065105581,neurological-conditions,Phys
536,51,63,0.7342419057665345,obesity,Phys
537,721,466,0.2341939604746223,earthquakes,EnvNat
538,391,18,0.5747330213051821,fire,EnvNat
539,822,161,0.3948913485614799,earthquakes,EnvNat
540,499,84,0.6379975590435377,earthquakes,EnvNat
